country,year,S_proxy,N_proxy,R_proxy,Crisis,_N_stability,N_noise,_S,_N_raw,_N,_R,E
DEU,2009,1.57510924339294,0.859902501106262,79.0,0.0843630496315778,0.9157880867189081,0.0842119132810919,0.9285106123847556,0.07148658807615263,0.07148658807615263,0.9625894028095129,1.5
DEU,2010,1.51569378376007,0.796834468841553,82.0,0.0448094811053699,0.9432101145011793,0.05678988549882069,0.8782843358588653,0.053534594023337566,0.053534594023337566,0.9797828528640959,1.5
DEU,2011,1.50013899803162,0.842218458652496,81.27,0.0037586418679369,0.9128559552733867,0.0871440447266133,0.8909145912109034,0.08162540304163309,0.08162540304163309,0.953973314052846,1.5
DEU,2012,1.53097581863403,0.775621294975281,82.35,0.0004244423914764,0.868184748361415,0.13181525163858498,0.9268056684867472,0.12699267154922178,0.12699267154922178,0.9536113866123782,1.5
DEU,2013,1.51041460037231,0.92798388004303,84.17,0.0247638348740589,0.9417059601677858,0.05829403983221415,0.9051205665346551,0.058315712944363746,0.058315712944363746,0.9178965613271091,1.5
DEU,2014,1.6648246049881,0.925186455249786,86.1937,0.0546602999782892,0.9169403847629296,0.0830596152370704,0.9434962596929137,0.06747917346659826,0.06747917346659826,0.9301038792452963,1.5
DEU,2015,1.65639758110046,0.687514960765839,87.5898,0.0742786931437272,0.7846277587068999,0.21537224129310006,0.9583698965178813,0.19781543457684392,0.19781543457684392,0.9318491277714058,1.5
DEU,2016,1.66018795967102,0.667541146278381,84.1652,0.0754126495777393,0.7793125175231044,0.22068748247689562,0.9499036298000021,0.20132149648130226,0.20132149648130226,0.82986168127206,1.5
DEU,2017,1.61311173439026,0.574381291866302,84.3942,0.024525257445189,0.7105066033440958,0.28949339665590423,0.9533261746200289,0.29379361000793663,0.29379361000793663,0.856385593068812,1.5
DEU,2018,1.52356374263763,0.577865242958069,87.0371,0.013391560116526,0.7576377629229464,0.24236223707705362,0.9335088090712803,0.2517118143715746,0.2517118143715746,0.8932320648199211,1.5
DEU,2019,1.49534583091736,0.548539876937866,88.1345,0.0277170115558735,0.7396413344435582,0.2603586655564418,0.9291931116770905,0.2608033629611845,0.2608033629611845,0.8880692607571894,1.5
DEU,2020,1.31368815898895,0.645049154758453,89.8129,0.0927561037093018,0.7880883729602223,0.21191162703977773,0.8539838345697747,0.21575121583452492,0.21575121583452492,0.8654411390927503,1.5
DEU,2021,1.28911292552948,0.725788176059723,91.4306,0.053333333333335,0.8479919387504049,0.1520080612495951,0.8794447563075785,0.14636380438753432,0.14636380438753432,0.7716897505698066,1.5
DEU,2022,1.28929960727692,0.628491878509521,91.6298,0.243628719275548,0.7942175469903158,0.20578245300968423,0.8648204320035178,0.20975568870420042,0.20975568870420042,0.8330878468951872,1.5
DEU,2023,1.18541669845581,0.586989283561707,92.4764,0.197321833862914,0.8090581659234664,0.19094183407653365,0.8102608161933502,0.20003969478683217,0.20003969478683217,0.7493718724014296,1.5
DEU,2024,,,93.5,0.0128249071693784,0.5,0.5,0.5,0.5,0.5,0.9221635824548624,0.9221635824548624
FRA,1996,1.25185739994049,0.887499451637268,2.58,0.000855817455131,0.8128858287641395,0.1871141712358605,0.7377713322669606,0.18188951228733247,0.18188951228733247,0.23029935011891614,0.934128945758249
FRA,1997,,,4.26,0.0398028529865185,0.5,0.5,0.5,0.5,0.5,0.22510820657502112,0.22510820657502112
FRA,1998,1.45350337028503,0.698888778686523,6.32,0.0674436566083479,0.7711143843746335,0.22888561562536647,0.8176142019789443,0.23110924894301849,0.23110924894301849,0.20372114542540362,0.7207210551071265
