country,year,S_proxy,N_proxy,R_proxy,Crisis
DEU,2011,1.50013899803162,0.842218458652496,81.27,0.0037586418679369958
DEU,2012,1.53097581863403,0.775621294975281,82.35,0.0004244423914764983
DEU,2013,1.51041460037231,0.92798388004303,84.17,0.024763834874058997
DEU,2014,1.6648246049881,0.925186455249786,86.1937,0.05466029997828929
DEU,2015,1.65639758110046,0.687514960765839,87.5898,0.07427869314372725
DEU,2016,1.66018795967102,0.667541146278381,84.1652,0.07541264957773934
DEU,2017,1.61311173439026,0.574381291866302,84.3942,0.024525257445189
DEU,2018,1.52356374263763,0.577865242958069,87.0371,0.013391560116526003
DEU,2019,1.49534583091736,0.548539876937866,88.1345,0.027717011555873507
DEU,2020,1.31368815898895,0.645049154758453,89.8129,0.09275610370930185
DEU,2021,1.28911292552948,0.725788176059723,91.4306,0.05333333333333501
DEU,2022,1.28929960727692,0.628491878509521,91.6298,0.24362871927554802
DEU,2023,1.18541669845581,0.586989283561707,92.4764,0.197321833862914
DEU,2024,,,93.5,0.012824907169378497
FRA,1996,1.25185739994049,0.887499451637268,2.58,0.0008558174551310027
FRA,1997,,,4.26,0.0398028529865185
FRA,1998,1.45350337028503,0.698888778686523,6.32,0.06744365660834795
FRA,1999,,,9.13,0.07314291804326781
FRA,2000,1.63705730438232,0.785089075565338,14.3079,0.016202005639536
FRA,2001,,,26.3259,0.018260960225198998
FRA,2002,1.54408168792725,0.924183249473572,30.18,0.003829385636469995
FRA,2003,1.6510945558548,0.179551064968109,36.14,0.004923609573461496
FRA,2004,1.75563025474548,0.345115303993225,39.15,0.007104482320120509
FRA,2005,1.66645479202271,0.399723917245865,42.87,0.012706531809759003
FRA,2006,1.62847626209259,0.595505774021149,46.87,0.0162437751956385
FRA,2007,1.46457493305206,0.563000798225403,66.09,0.02560009702307
FRA,2008,1.57403433322906,0.543759167194366,70.68,0.040643097457393494
FRA,2009,1.47705447673798,0.512012898921967,71.58,0.09561897609212758
FRA,2010,1.46266102790833,0.681087553501129,77.28,0.023443864789536493
FRA,2011,1.39230680465698,0.602992832660675,77.82,0.005579897587499505
FRA,2012,1.37338125705719,0.554941534996033,81.44,0.002290234193249496
FRA,2013,1.48205244541168,0.448744118213654,81.9198,0.05681422510690635
FRA,2014,1.41287088394165,0.300568491220474,83.7511,0.07461205885310185
FRA,2015,1.41732227802277,0.0977598056197166,78.006,0.0981242809743735
FRA,2016,1.38062357902527,-0.106349594891071,79.2698,0.09083325694380855
FRA,2017,1.30890679359436,0.265701532363892,80.5025,0.0483858624676665
FRA,2018,1.41971850395203,0.013894104398787,82.0432,0.007459245842249496
FRA,2019,1.33822000026703,0.271341234445572,83.3397,0.044587253855854006
FRA,2020,1.2042510509491,0.280992835760117,84.7064,0.0761750573637493
FRA,2021,1.22854030132294,0.325612366199493,86.0955,0.017883429480803504
FRA,2022,1.16521215438843,0.393339216709137,85.3333,0.161118374184868
FRA,2023,1.14462625980377,0.343697965145111,86.8364,0.143917863254219
FRA,2024,,,88.6538,4.752885426799747e-05
GBR,1996,1.88219606876373,0.981364369392395,4.12,0.042589118198874495
GBR,1997,,,7.39,0.01005715675544101
GBR,1998,1.86216461658478,0.930068552494049,13.7,0.008971918134222
GBR,1999,,,21.3,0.012352459974289997
GBR,2000,1.76882231235504,1.03310573101044,26.8218,0.0408521878947955
GBR,2001,,,33.4811,0.023382519863790995
GBR,2002,1.77972555160522,0.672591328620911,56.48,0.0239798770262725
GBR,2003,1.74633467197418,0.27125072479248,64.82,0.031174980728993495
GBR,2004,1.86802077293396,0.140847533941269,65.61,0.030480121659788993
GBR,2005,1.76157212257385,0.124187760055065,70.0,0.004456824512534996
GBR,2006,1.6667982339859,0.667080104351044,68.82,0.022783083219645506
GBR,2007,1.64163875579834,0.574654936790466,75.09,0.0193280753866635
GBR,2008,1.63480663299561,0.492879867553711,78.39,0.076070428171269
GBR,2009,1.50809645652771,0.121949501335621,83.56,0.0019134132199450037
GBR,2010,1.6179975271225,0.411818206310272,85.0,0.024632736233532994
GBR,2011,1.60419464111328,0.351707607507706,85.38,0.0928056223414095
GBR,2012,1.59121036529541,0.40227073431015,87.48,0.02866173982726301
GBR,2013,1.51226651668549,0.48620143532753,89.8441,0.014583333333333504
GBR,2014,1.62349116802216,0.415347635746002,91.6133,0.027443991853360505
GBR,2015,1.70522773265839,0.503706395626068,92.0003,0.0815976578837315
GBR,2016,1.57377743721008,0.347932636737823,94.7758,0.0495791315942985
GBR,2017,1.4309287071228,0.380680292844772,90.4246,0.027887788778876498
GBR,2018,1.36169874668121,0.0770855620503426,90.692,0.014641995172968492
GBR,2019,1.44982588291168,0.526694297790527,92.5166,0.013094769956742502
GBR,2020,1.33215415477753,0.483050256967545,94.8182,0.050525664811377546
GBR,2021,1.23967301845551,0.489994138479233,96.1965,0.02591855480710501
GBR,2022,1.23809003829956,0.533176064491272,96.2989,0.2961024415739535
GBR,2023,1.16114270687103,0.514935672283173,96.2988,0.239698353396982
GBR,2024,,,,0.06357864731796051
IND,1996,-0.111606687307358,-0.972584128379822,0.0463,0.3488576169132265
IND,1997,,,0.0708,0.258212605731362
IND,1998,-0.11445739865303,-1.20082128047943,0.139,0.5615419488398851
IND,1999,,,0.273,0.1334910190187965
IND,2000,-0.187351524829865,-1.00120759010315,0.527532,0.10047179552259551
IND,2001,,,0.660146,0.08896465611781901
IND,2002,-0.189068421721458,-1.21066498756409,1.53788,0.11485760196478152
IND,2003,-0.143909424543381,-1.50999701023102,1.68649,0.09029294976442499
IND,2004,-0.179698884487152,-1.28043293952942,1.97614,0.08836258673875749
IND,2005,-0.0987746343016624,-1.01388049125671,2.38807,0.11231718101596151
IND,2006,-0.0953764915466309,-1.06518423557281,2.8055,0.18982616878081648
IND,2007,0.136991709470749,-1.15429580211639,3.95,0.218644067796616
IND,2008,-0.00973291415721178,-1.10970735549927,4.38,0.3174633524537905
IND,2009,-0.00329578877426684,-1.35554790496826,5.12,0.44411764705882
IND,2010,0.0316559858620167,-1.27798449993134,7.5,0.49946949602122004
IND,2011,0.0225540697574615,-1.32679533958435,10.07,0.345589668241685
IND,2012,-0.15608711540699,-1.28930985927582,11.1,0.373949845709899
IND,2013,-0.157355144619942,-1.22917413711548,12.3,0.40089392373051497
IND,2014,-0.222846582531929,-0.997911989688873,13.5,0.233282835933948
IND,2015,0.0800815001130104,-0.954773545265198,14.9,0.14534867206362997
IND,2016,0.0613894164562225,-0.960426509380341,16.5,0.1474108170310675
IND,2017,0.0410966314375401,-0.774099111557007,18.2,0.06640866873064999
IND,2018,0.262917786836624,-0.997706770896912,20.0813,0.09694132334581651
IND,2019,0.130771830677986,-0.796846985816956,29.5235,0.08647528676956351
IND,2020,0.374532461166382,-0.841419219970703,43.4054,0.231171838814268
IND,2021,0.249238416552544,-0.691076755523682,,0.156570373588184
IND,2022,0.369541674852371,-0.615027368068695,55.9,0.23495170703992452
